title,story,num_episodes,show_start,series_type,genres,picture
.HACK//SIGN | الأختراق//التوقيع,في عام 2005، فيروس كمبيوتر يدعى “قبلة بلوتو” يوقف ويقيد شبكة الإنترنت العالمية كلياً. وفي العام 2007، بعد إبطال الشبكة بالكامل، صنعوا وأطلقوا لعبة آر بي جي على الشبكة تدعى العالم. الأنمي يركز بشكل رئيسي على تسوكاسا الذي حصل على القوة لتدمير اللاعب في العالم الحقيقي. أستيقظ فجأة ليجد نفسه في لعبة العالم يستطيع أن يشعر ويشم ويلمس ويرى ويسمع كل شيء وكأنه فعلاً هناك. حاول أن يخرج لكنه فشل في ذلك. لم يكن يتذكر ماذا حدث قبل أن يستيقظ، بدأ بالتجول بدون هدف بحثاً عن أجوبة. وبينما كان يتجول إشتبه به فرسان القرمزي (رؤساء النظام) بأنه يعمل لحساب المخترقين، بسبب الشخصية التي كانت معه. بعدها وجد تسوكاسا أداة سحرية تمنحه القوة لإستخدام ذلك الحارس المخيف الذي سيحميه من الأذى ويبدأ تسوكاسا بشق طريقه ليتمكن من الخروج من هذا العالم الاسم باليابانية :.hack//SIGN الاسم بالإنجليزية :.hack//Sign,26.0,2002.0,TV,"العاب, خيال علمي, مغامرات, غموض, سحر",https://animeslayer.space/wp-content/uploads/2020/10/94665.jpg
.Itsudatte Bokura no Koi wa 10 cm Datta | الحب الأول لون ازهار الكرز,"القصة تبدأ بعد أن تلتقي ""ميو ايدا"" بـ""هاروكي سيريزاوا"" في مراسيم دخول الثانوية العليا. ومنذ ذالك الوقت اصبحت نظراتهما تطارد احدهما الاخر. ميو منعزلة بينما هاروكي اجتماعي جداً. وبينما يخطئ الكثير بالظن بانهما مرتبطان عاطفياً والامر ليس كذلك الا انهما اكثر من مجرد اصدقاء.",6.0,2017.0,TV,"كوميدي, دراما, رومانسي, مدرسي",https://animeslayer.space/wp-content/uploads/2021/04/Itsudatte-Bokura-No-Koi-Wa-10-Cm-Datta.-732x1024-1.jpg
(GLASS NO KAMEN (2005 | القناع الزجاجي 2005,فتآة في الثآلثه عشره من العمر ..تلك الفتآة تدعى مايا هي تخرج من مدرستها منطلقه بشوآرع المدينه لتتجه نحو مطعم صغير الذي تعمل فيه وآلدتها التي فقدت زوجها و بدأت تكآفح من أجل إبنتهاو بينمآ “تركض..ترى بعض الإعلآنآت لبعض الأفلآم و المسرحيآت”يآآه ليتني أشآهد هذا العرض..ليتني أقف على منصه المسرح يوما ما..”هذا ما تقوله عند رؤيتها لتلك الإعلآنآت كآنت مايا تقضي وقتها مع أصدقآئها بأدآء حوآر مع نفسها و كأنها تُمثل في فيلم ما لم يعرها أحد إهتمام كبير عدا تلك السيده التي صٌدمت من موهبه مآيآ حيث قالت وجدتها ..وجدتها  هذه الكلمآت إنطلقت من شفآه تلك المرأه فتطلب من مآيآ أن تلتحق بمسرحها الخآص لتعلم التمثيل.. الاسم باليابانية :ガラスの仮面 (2005) الاسم بالإنجليزية :Glass Mask,51.0,2005.0,TV,"دراما, شوجو",https://animeslayer.space/wp-content/uploads/2021/01/1.jpg
(SHAKUGAN NO SHANA II (SECOND | شاكوغان نو شانا الموسم الثاني,تكملة أحداث الموسم الأول ... يوجي ساكاي، طالب عادي إنقلبت حياته رأساً على عقب بعد أن قالت له فتاة تملك شعراً وعينين تشتعلان حمرة بأنه ميت ولم يتبق له سوى أيام معدودة حتى يتلاشى من هذه الحياة وتتلاشى معه كل الذكريات عنه من بين جميع من عرفوه. الفتاة التي قالت ليوجي ذلك ليست سوى فلايم هايز تعرف بالقاتلة ذات الشعر الملتهب والعينين المحترقتين، كل ما تعرفه هو القتال من أجل الحفاظ على توازن العالم، لا تملك إسماً ولا رغبة خاصة بها. حين يلتقي الإثنين تتغير حياة كل منهما جذرياً ليتصادم عالمان لم يكن يعرف أحدهما عن الآخر شيئاً… الأسماء البديلة :Shakugan no Shana 2 الاسم باليابانية :灼眼のシャナII –Second– الاسم بالإنجليزية :Shakugan no Shana: Season II,24.0,2007.0,TV,"أكشن, دراما, خيال علمي, رومانسي, مدرسي, خارق للعادة",https://animeslayer.space/wp-content/uploads/2021/01/7.jpg
(SHAKUGAN NO SHANA III (FINAL | شاكوغان نو شانا الموسم الثالث,"لموسم الثالث و تكملة أحداث الموسم الثاني ... يوجي ساكاي، طالب عادي إنقلبت حياته رأساً على عقب بعد أن قالت له فتاة تملك شعراً وعينين تشتعلان حمرة بأنه ميت ولم يتبق له سوى أيام معدودة حتى يتلاشى من هذه الحياة وتتلاشى معه كل الذكريات عنه من بين جميع من عرفوه. الفتاة التي قالت ليوجي ذلك ليست سوى فلايم هايز تعرف بالقاتلة ذات الشعر الملتهب والعينين المحترقتين، كل ما تعرفه هو القتال من أجل الحفاظ على توازن العالم، لا تملك إسماً ولا رغبة خاصة بها. حين يلتقي الإثنين تتغير حياة كل منهما جذرياً ليتصادم عالمان لم يكن يعرف أحدهما عن الآخر شيئاً… الأسماء البديلة :Shakugan no Shana Third, Shakugan no Shana 3 الاسم باليابانية :灼眼のシャナIII –Final– الاسم بالإنجليزية :Shakugan no Shana: Season III",24.0,2011.0,TV,"أكشن, رومانسي, دراما, خيال علمي, خارق للعادة",https://animeslayer.space/wp-content/uploads/2021/01/33.jpg
07-Ghost | الأشباح السبعة,"يوجد مملكتان لديهما نفس القوة ، المملكة الأولى تُدعى بـ [ ›› بارسبيرغ ‹‹ ] ويوجد في هذه المملكة الجيش ، وتوجد مملكة أُخرى أيضاً لها نفس القوة تُدعى بـ [ ›› ارجس ‹‹ ] ، وبما أن لهما نفس القوة تم كسر الإتفاق بينهما في يوماً من الأيام حتى تُأخذ القوة من مملكة بارسبيرغ وسر القوة لكُل مملكة أن لها عين تحميها وحينَ أرادوا الحصول على العين قتلوا رجلاً وكان ذلك الرجل هو والد تايتو وتايتو هو بطل الإنمي الذي فقد ذاكرته بعد مقتل والده وتم أخذه كـ عبد وتجنيده هُناك ولكن تايتو أسترجعَ ذكرياته بعد رؤيته لـ اينامي الذي هو قاتل أبيه فيقرر حينها تايتو الهجوم على اينامي ولكن تايتو لقد فشل وسُجن تايتو نتيجةً لذلك وقام ميكاقي بمُساعدة تايتو على الهروب من الجيش ويبحث الآن تايتو عن ماضيه فيجد أن هُناك 7 أشباح نزِلوا من السماء لحماية الأرض ، لمعرفة المزيد فـ قُم بمشاهدة الإنمي . الأسماء البديلة :07 Ghost, Seven Ghost, 7 Ghosts, The Seven Ghosts الاسم باليابانية :セブンゴースト الاسم بالإنجليزية :07-Gho",25.0,2009.0,TV,"أكشن, حربي, جوسي, سحر, شياطين",https://animeslayer.space/wp-content/uploads/2021/01/27-14.jpg
1-gatsu ni wa Christmas,نوبوماسا هو رجل يعمل في بدوام جزئي في متجر للأحذية حيث يلتقي بصديقته القديمة ميزوكي. ميزوكي فتاة عانت من مشاكل في حياتها حيث أصبحت لا تثق بأحد غير نوبوماسا. في تلك الفترة، ظهرت فتاة وأسمها سيكو والتي أصبحت بدورها تحب نوبوماسا ولكن غير قادرة على إظهار مشاعرها له,1.0,1991.0,OVA,"رومانسي, دراما",https://animeslayer.space/wp-content/uploads/2020/09/Ashampoo_Snap_2019.08.21_16h59m51s_001_.png
100-man no Inochi no Ue ni Ore wa Tatteiru | أنا واقف على حياة المليون,قصة انمي 100-man no Inochi no Ue ni Ore wa Tatteiru تدور حول يوتسويا يوسوكي وهو طالب في الصف الثامن تم إرساله مع صديقته ذات يوم فجأة إلى عالم آخر حيث يجب عليهما أن يعملا معًا في المعركة من أجل النجاة. يوتسويا شخص وحيد ويحب أن يعمل لوحده دائمًا، كيف سيقوم بفعل ذلك والذي من المفترض أن يكون هو البطل؟!,12.0,2020.0,TV,"أكشن, العاب, فنتازيا, شونين",https://animeslayer.space/wp-content/uploads/2020/10/SGFDHKJ7HJ89S5JMLG.png
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season | أقف فوق مليون حياة الموسم الثاني | هياكومان نو اينوشي نو اوي ني اوري وا تاتيرو نيسين نيجو ايشي ام ستيندن اون ا ميليون لايفس سكند سيزن,-تتمة أحداث الموسم السابق- تم نقل “يوتسويا يوسوكي” رفقة زملائه “شيندو ايو” و“هاكوزاكي كوسوي” إلى عالم غريب وغير معروف يسكنه مخلوقات أسطورية. بمجرد وصولهم، يلتقون بشخص يطلق على نفسه لقب “سيد اللعبة” الذي يمنحهم بعد ذلك مهمة محدودة الوقت. لمساعدتهم في هذا المسعى ، يمنح “شيندو” و“هاكوزاكي” أدوار الساحر والمحارب في حين يتم منح “يوتسويا” دور عشوائي… مزارع؟! هذه هي الطريقة التي بدأت بها حياة المغامرة الحماسية لثلاثة طلاب ليس لديهم خيار سوى إتمام المهام العشوائية لعدة مراحل في عالم خيالي، هذا للبقاء على قيد الحياة، وحماية العالم الحقيقي من الشياطين والوحوش التي تهدده.,12.0,2021.0,TV,"أكشن, العاب, دراما, خيال علمي, شونين",https://animeslayer.space/wp-content/uploads/2021/06/100-man-no-Inochi-no-Ue-ni-Ore-wa-Tatteiru-2nd-Season-wp.jpg
11eyes | 11 عين,"تتحدث قصه الانمي عن الفتى Satsuki Kakeru الذي خسر اخته عن طريق الانتحآرومنذ ذلك اليوم,وهو يعيش حيآه معتمه وممله,في يوم من الآيام، ينتقل فجآة إلى عالم غريب يدعى “Red Night” مع صديقته Minase Yuka.ويواجه خمسه فرسآن وحتى ينجو ويهرب من هذا العالم،عليه آن يحارب ضد (Ralva) و Black Nights الفرسان السود الأسماء البديلة :11eyes -Tsumi to Batsu to Aganai no Shoujo- الاسم باليابانية :11eyes イレブンアイズ الاسم بالإنجليزية :11eyes",12.0,2009.0,TV,"أكشن, إيتشي, قوى خارقة, خارق للعادة",https://animeslayer.space/wp-content/uploads/2021/01/4-14.jpg
